Brand,Model,Type,Screen Size,Display Technology,Condition,name,price,Display Resolution,Display Type,Refresh Rate,TV Operation System,Exchange Possible,Projector Resolution,Image Brightness,Projector Features,Operating System,Maximum Resolution,Storage Capacity,Connectivity
Skyworth,55,TVs,55 inches,LED,Brand New,New in Box Skyworth 55 Smart Uhd Tv,"GH₵ 5,300",2160p (4K),,,,,,,,,,,
TCL,43S5400A,TVs,43 inches,LED,Brand New,More Fitting TCL 43inch Smart FHD TCL,"GH₵ 3,299",1080p (FullHD),,,,No,,,,,,,
LG,,TVs,,,Brand New,(2020 New)Super Powerful LG Oled TV 55cx,"GH₵ 10,550",,,,,,,,,,,,
Nasco,,TVs,40 inches,,Brand New,TV Power40nasco Tv,"GH₵ 1,599",,,,,,,,,,,,
TCL,65,TVs,65 inches,LED,Brand New,Cool Deal TCL 65 UHD Smart Android TV ¡!,"GH₵ 7,000",,,,,,,,,,,,
LG,,TVs,65 inches,,Brand New,New 2021 LG 65'' Uhd 4K Smart Thinq Ai LED TV,"GH₵ 7,000",,,,,,,,,,,,
LG,55UP7800,TVs,55 inches,LED,Brand New,True Cinema Experience LG UHD Smart Android Tv 55”UP7800,"GH₵ 8,200",2160p (4K),Glossy,,,,,,,,,,
Other,,TVs,43 inches,LED,Brand New,#$(ST) Syinix 43 Inches Android Tv,"GH₵ 2,100",1080p (FullHD),,,,,,,,,,,
Nasco,NAS-J50FB,TVs,50 inches,LED,Brand New,"Slim Designed Nasco 50""Inches Digital Satellite TV","GH₵ 3,500",1080p (FullHD),,,,,,,,,,,
Other,,TVs,,,Brand New,32inches Best Syinix Led Tv,GH₵ 949,,,,,,,,,,,,
Samsung,,TVs,70 inches,,Brand New,"Multi View HDR Samsung Crystal 70"" Uhd TV","GH₵ 9,000",,,120 Hz,,,,,,,,,
TCL,50P635,TVs,50 inches,LED,Brand New,Greatest TCL 50inch HDR Google Tv,"GH₵ 4,499",2160p (4K),,,Google TV,No,,,,,,,
LG,,TVs,,,Brand New,Quality Slim LG Nano80 Series 65 Inch 4K TV W/ AI Thinq TV,"GH₵ 7,999",,,,,,,,,,,,
LG,43lp50,TVs,43 inches,LED,Brand New,LG 108 Cm (43 Inches) Full HD LED Satellite HD Smarttv,"GH₵ 3,899",1080p (FullHD),Glossy,120 Hz,Smart TV (own system),No,,,,,,,
TCL,43P635,TVs,43 inches,LED,Brand New,Angelic 4KHDR TCL Google 43inch TV,"GH₵ 3,699",2160p (4K),,,Google TV,No,,,,,,,
Samsung,,TVs,,,Brand New,Original Samsung 49” Curved Classic One ☝,"GH₵ 4,000",,,,,,,,,,,,
Samsung,Samsung QA85QN800BUXZN,TVs,85 inches,LED,Brand New,Samsung 85′′ Qn900a Neo Qled Smart TV Qa85qn800buxz,"GH₵ 125,500",4320p (8K),Glossy,144 Hz,Tizen,No,,,,,,,
Nasco,,TVs,40 inches,,Brand New,"Nasco 40"" LED Digital Satellite Curved TV - NAS J40CB","GH₵ 1,949",,,,,,,,,,,,
Other,,TVs,,,Brand New,Protech 32 Inches Energy Saving Digital TV,GH₵ 999,,,,,,,,,,,,
Panasonic,panasonic pabx,Other,,,Brand New,Panasonic Pabx 3 Lines 8 Extensions Tes824bx With Console,"GH₵ 7,400",,,,,,,,,,,,
Bruhm,Bruhm 32,TVs,32 inches,LED,Brand New,Classic Bruhm 32 Inch Full HD Digital Satelite LED Tv,"GH₵ 1,199",,,,,,,,,,,,
LG,65UP78003,TVs,65 inches,LED,Brand New,LG 65′′ Smart 4K ULTRA HD TV – 65UM7450PVA + Magic Remote*,"GH₵ 12,500",2160p (4K),Glossy,120 Hz,,,,,,,,,
Nasco,Nasco,TVs,50 inches,LED,Brand New,Nasco 50 Inches Glossy Smart Black UHD LED Tv,"GH₵ 3,799",2160p (4K),Glossy,,,,,,,,,,
